Employee_ID,Age,Gender,Education,Department,Experience,Working_Hours,Performance_Score,Projects_Completed,Salary,Salary_Category
220,58,Female,Bachelor,Marketing,16,41,2,1,67118,Medium
221,44,Female,PhD,HR,23,43,4,17,87226,High
222,36,Female,PhD,HR,24,53,1,19,91010,High
223,50,Female,Bachelor,IT,6,50,3,14,36830,Low
224,57,Male,PhD,HR,5,42,9,12,57891,Medium
225,34,Male,PhD,Finance,23,52,7,10,76424,Medium
226,53,Male,Master,Sales,32,57,7,18,108941,High
227,28,Female,PhD,IT,28,52,4,11,107359,High
228,43,Female,Bachelor,HR,21,54,2,2,82003,Medium
229,49,Female,Master,IT,25,41,4,18,91665,High
230,23,Female,Master,IT,27,37,6,7,106609,High
231,27,Male,Bachelor,Sales,20,52,3,15,74084,Medium
232,49,Male,Bachelor,Finance,6,44,1,11,46569,Low
233,49,Female,Master,IT,16,41,8,18,77690,Medium
234,41,Male,PhD,HR,19,51,5,12,75187,Medium
235,51,Male,Master,Marketing,19,48,5,6,75629,Medium
236,32,Female,Bachelor,IT,21,58,4,13,78281,Medium
237,49,Male,Master,IT,27,37,6,16,97036,High
238,46,Female,Bachelor,Sales,6,46,3,18,49533,Low
239,54,Male,Master,Finance,0,47,9,10,41416,Low
240,22,Female,PhD,Marketing,31,36,5,8,107747,High
241,48,Female,Master,HR,12,37,3,18,50154,Low
242,34,Female,Master,Marketing,29,39,1,1,93908,High
243,24,Female,Bachelor,HR,22,45,10,8,85282,High
244,27,Male,Bachelor,Finance,18,42,6,6,78308,Medium
245,29,Female,Bachelor,HR,31,57,2,5,102034,High
246,48,Female,Master,Sales,29,57,3,15,96821,High
247,30,Female,PhD,Sales,28,46,1,15,95351,High
248,58,Male,Bachelor,Sales,28,41,9,2,107389,High
249,54,Female,Bachelor,Sales,29,49,8,1,103097,High
250,45,Male,Master,Marketing,15,58,2,11,60141,Medium
251,36,Female,Bachelor,Finance,18,51,8,10,71293,Medium
252,53,Male,PhD,HR,17,38,9,18,78380,Medium
253,53,Male,PhD,HR,0,56,1,18,32409,Low
254,45,Female,Bachelor,Sales,13,59,5,17,59752,Medium
255,33,Male,Bachelor,Sales,1,47,8,8,45428,Low
256,23,Female,Master,IT,27,52,2,15,89505,High
257,24,Female,PhD,Finance,29,35,4,8,90317,High
258,58,Female,PhD,Marketing,3,50,7,17,51282,Low
259,38,Male,Bachelor,HR,0,47,3,12,39319,Low
260,23,Male,Master,IT,7,44,5,8,41322,Low
261,23,Female,PhD,IT,28,46,8,14,98386,High
262,49,Female,PhD,HR,2,36,10,4,43392,Low
263,44,Male,Master,Marketing,31,57,3,1,109997,High
264,58,Female,Master,IT,9,37,4,1,54103,Low
265,53,Female,PhD,IT,9,44,9,19,53120,Low
266,54,Female,PhD,Finance,18,36,7,16,82410,Medium
267,22,Male,Master,Marketing,33,57,1,14,97646,High
268,40,Male,PhD,IT,32,47,4,16,103898,High
269,23,Male,Bachelor,Marketing,22,47,4,5,79351,Medium
270,47,Female,Bachelor,HR,27,52,9,9,97397,High
271,53,Female,Master,Sales,31,37,6,2,110086,High
272,27,Female,Master,IT,6,41,9,18,61606,Medium
273,53,Male,Master,Finance,28,48,6,6,92428,High
274,25,Female,Bachelor,HR,7,54,6,9,55730,Medium
275,32,Female,PhD,Marketing,0,51,5,1,32336,Low
276,38,Female,Bachelor,HR,2,55,5,9,36891,Low
277,59,Female,PhD,IT,23,46,2,16,85453,High
278,45,Male,Bachelor,Marketing,22,59,8,13,82860,Medium
279,26,Male,PhD,Sales,7,50,8,9,57353,Medium
280,55,Female,Bachelor,HR,2,58,1,13,39250,Low
281,27,Male,Master,IT,32,46,8,9,107837,High
282,43,Male,Bachelor,Finance,27,49,5,11,102035,High
283,32,Female,PhD,Marketing,7,59,2,4,41435,Low
284,37,Female,Bachelor,HR,33,44,2,2,111727,High
285,54,Male,Bachelor,HR,34,59,6,6,102280,High
286,30,Female,Bachelor,Sales,31,41,9,14,122498,High
287,27,Male,Master,Sales,23,54,1,4,79768,Medium
288,37,Female,Bachelor,Finance,13,39,6,6,59988,Medium
289,50,Male,Master,Finance,31,35,9,19,107836,High
290,24,Female,Master,IT,15,51,8,6,67367,Medium
291,41,Male,Bachelor,IT,3,37,6,2,45734,Low
292,57,Male,Bachelor,Finance,20,47,3,18,84438,Medium
293,40,Male,Bachelor,Finance,13,48,8,13,63232,Medium
294,47,Female,PhD,Marketing,30,58,9,9,109696,High
295,24,Male,Bachelor,Sales,17,52,1,19,60936,Medium
296,40,Male,Master,IT,6,38,9,13,59164,Medium
297,41,Female,Bachelor,Sales,9,52,6,11,59081,Medium
298,53,Female,PhD,Sales,6,39,6,1,55780,Medium
299,28,Male,Bachelor,Finance,32,59,4,7,104588,High
300,54,Male,PhD,Marketing,22,50,1,15,77424,Medium
301,39,Female,PhD,HR,20,35,10,1,90080,High
302,22,Female,Bachelor,Marketing,18,55,8,12,72659,Medium
303,32,Female,Master,Marketing,18,48,2,7,63285,Medium
304,49,Female,PhD,Sales,28,49,1,15,92775,High
305,46,Female,Bachelor,Marketing,17,43,2,19,67852,Medium
306,44,Male,Bachelor,IT,1,49,1,1,36169,Low
307,52,Female,Master,Sales,0,51,1,17,36657,Low
308,51,Male,PhD,IT,4,59,9,17,52265,Low
309,56,Male,PhD,HR,19,58,1,3,78059,Medium
310,28,Male,Bachelor,Sales,10,38,4,12,58405,Medium
311,37,Female,Bachelor,HR,1,46,10,6,46672,Low
312,47,Male,Master,Sales,2,39,6,11,41016,Low
313,23,Male,Master,Finance,22,39,7,3,89125,High
314,22,Female,PhD,Marketing,11,45,2,8,57433,Medium
315,33,Male,PhD,Finance,19,40,6,14,80625,Medium
316,26,Male,Bachelor,HR,4,41,7,14,46366,Low
317,58,Female,PhD,Marketing,29,58,10,10,109844,High
318,53,Male,Master,Sales,8,48,10,2,56047,Medium
319,30,Male,Master,Marketing,33,58,2,14,104908,High
320,56,Male,Bachelor,IT,34,45,2,9,113758,High
321,40,Female,Master,Marketing,21,47,10,3,83456,Medium
322,37,Female,Master,IT,23,36,7,8,78190,Medium
323,24,Female,Master,Marketing,16,59,1,16,68232,Medium
324,41,Male,Master,IT,9,41,8,2,58115,Medium
325,45,Male,Bachelor,HR,29,54,3,6,102454,High
326,54,Female,Bachelor,Finance,22,38,6,12,84947,Medium
327,45,Male,PhD,Sales,31,42,9,5,105978,High
328,32,Male,Master,Marketing,16,54,6,2,72020,Medium
329,29,Female,PhD,Finance,16,56,9,16,81465,Medium
330,57,Female,Bachelor,Sales,13,55,7,5,69876,Medium
331,59,Male,Bachelor,Sales,8,53,9,15,46230,Low
332,41,Male,Bachelor,IT,1,47,2,12,35528,Low
333,56,Male,Bachelor,HR,24,48,8,4,93578,High
334,46,Female,Bachelor,HR,8,44,8,15,57108,Medium
335,56,Female,Bachelor,Finance,21,45,2,11,75545,Medium
336,46,Female,Bachelor,HR,3,36,4,16,47372,Low
337,50,Female,Master,Marketing,25,59,7,6,99620,High
338,39,Male,PhD,HR,28,43,4,14,85384,High
339,39,Female,Bachelor,Finance,33,51,4,18,103410,High
340,23,Female,Master,HR,22,37,6,12,84876,Medium
341,56,Female,Master,Marketing,10,58,10,11,68742,Medium
342,37,Female,PhD,IT,5,40,6,13,48374,Low
343,57,Female,Bachelor,Finance,17,39,10,11,75982,Medium
344,54,Male,PhD,IT,20,39,3,16,81147,Medium
345,25,Male,Bachelor,IT,33,56,9,15,112343,High
346,54,Female,Master,IT,16,49,10,15,76612,Medium
347,35,Male,Master,Sales,24,57,2,4,85064,High
348,42,Female,Master,Sales,11,51,6,11,64271,Medium
349,41,Female,Master,IT,22,43,7,19,85257,High
350,29,Male,PhD,Finance,21,37,9,15,90434,High
